Timestamp,Phone,Risk_Type,Message
1/23/2026, 10:04:19 PM,52115602964571@lid,DANGER,"I have swallowed poison"
1/23/2026, 10:14:39 PM,52115602964571@lid,DANGER,"i have accidentally swallowed undertaker"
1/23/2026, 10:23:56 PM,52115602964571@lid,DANGER,"i have accidentally swallowed undertaker"
2/6/2026, 4:27:15 PM,52115602964571@lid,DANGER,"my cat died because of poison"
